ordinal	rule_id	source_locations_json
37	snapshot-proof-anchor-version-not-bound	["QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoSovereignSnapshotProof.swift:16-70","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignSnapshotManager.swift:45-69","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignSnapshotManager.swift:198-207","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:248-253","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignCleanRebootCoordinator.swift:117-133","QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoSovereignSnapshotProof.swift:44-70","QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:835-850"]
38	evaluation-integrity.generated-code-early-exit	["BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval.py:31-44","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval_paired.py:66-105","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_merge.py:34-65","BehavioralAISubstrate/Tools/qinao_local_eval/registry.py:40-46"]
39	supply-chain.evaluation-fixture-integrity	["BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval.py:12-35","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_humaneval_paired.py:41-94","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_merge.py:34-65"]
40	ffi.resource-exhaustion.untrusted-wire-count	["BehavioralAISubstrate/Cargo/bas-red-team-bench/src/lib.rs:633-666","BehavioralAISubstrate/Cargo/bas-red-team-bench/src/lib.rs:721-756","BehavioralAISubstrate/Sources/BASOrchestration/BASRedTeamBatchClassifier.swift:141-150","BehavioralAISubstrate/Sources/BASOrchestration/BASRedTeamBatchClassifier.swift:228-261"]
41	supply-chain.critical-evaluation-dataset-unpinned	["BehavioralAISubstrate/Tools/qinao_local_eval/qinao_bench.py:26-50","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_bench_zh.py:34-68","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_gsm8k_fair.py:28-38","BehavioralAISubstrate/Tools/qinao_local_eval/qinao_merge.py:68-96","BehavioralAISubstrate/Tools/qinao_local_eval/release_gate.py:144-171"]
42	ffi.resource-exhaustion.tokenizer-unbounded-count	["BehavioralAISubstrate/Cargo/bas-tokenizer/src/lib.rs:365-398","BehavioralAISubstrate/Cargo/bas-tokenizer/src/lib.rs:538-590","BehavioralAISubstrate/Sources/BASRuntimeCore/BASAutoRouteRanker+Tokenizer.swift:181-205","BehavioralAISubstrate/Cargo/bas-memory-usage-tracker/Cargo.toml:40-43"]
43	ffi.resource-exhaustion.integrity-sentinel-unbounded-count	["BehavioralAISubstrate/Cargo/bas-integrity-sentinel/src/lib.rs:377-410","BehavioralAISubstrate/Cargo/bas-integrity-sentinel/src/lib.rs:471-510","BehavioralAISubstrate/Cargo/bas-memory-usage-tracker/Cargo.toml:76-83","BehavioralAISubstrate/Sources/BASSovereign/BASIntegritySentinelBridge.swift:55-91"]
44	ffi.resource-exhaustion.importance-unbounded-count	["BehavioralAISubstrate/Cargo/bas-retrieval-ranker/src/lib.rs:1052-1100","BehavioralAISubstrate/Cargo/bas-retrieval-ranker/src/lib.rs:1141-1190","BehavioralAISubstrate/Sources/BASRuntimeCore/BASAutoRouteRanker+Importance.swift:96-135","BehavioralAISubstrate/Cargo/bas-memory-usage-tracker/include/bas_rust_memory_tracker.h:1168-1217"]
45	ffi.resource-exhaustion.ledger-unbounded-count	["BehavioralAISubstrate/Cargo/bas-retrieval-ranker/src/lib.rs:1700-1722","BehavioralAISubstrate/Cargo/bas-retrieval-ranker/src/lib.rs:665-705","BehavioralAISubstrate/Cargo/bas-retrieval-ranker/src/lib.rs:730-777","BehavioralAISubstrate/Cargo/bas-retrieval-ranker/src/lib.rs:819-888","BehavioralAISubstrate/Sources/BASRuntimeCore/BASAutoRouteRanker+Crypto.swift:63-180","BehavioralAISubstrate/Cargo/bas-memory-usage-tracker/include/bas_rust_memory_tracker.h:1072-1118"]
46	legacy-audit-canonicalization-collision	["BehavioralAISubstrate/Sources/BASRuntimeCore/EBrainControlPlaneCore.swift:1312-1314","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignEd25519Signing.swift:155-194","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignAuditLedger.swift:282-298","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignAuditLedger.swift:659-705","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignLedgerStorage.swift:927-969","QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:1948-1960"]
47	exportable-cli-signing-seed	["BehavioralAISubstrate/Sources/BASJournalCLI/Ledger.swift:64-93","BehavioralAISubstrate/Sources/BASJournalCLI/Ledger.swift:96-118","BehavioralAISubstrate/Sources/BASJournalCLI/Ledger.swift:125-153","BehavioralAISubstrate/Sources/BASJournalCLI/main.swift:34-46","BehavioralAISubstrate/Sources/BASJournalCLI/Ledger.swift:64-86","BehavioralAISubstrate/Sources/BASJournalCLI/Ledger.swift:96-118","BehavioralAISubstrate/Sources/BASJournalCLI/Ledger.swift:147-153"]
48	exportable-mirror-hmac-key	["BehavioralAISubstrate/Sources/BASJournalCLI/MirrorLane.swift:32-69","BehavioralAISubstrate/Sources/BASHostKit/BASMirrorLaneLedgerIngest.swift:56-75","BehavioralAISubstrate/Sources/BASHostKit/BASMirrorLaneLedgerIngest.swift:113-145"]
49	unbounded-braincli-stdin	["BehavioralAISubstrate/Sources/BASBrainCLI/main.swift:144-150","BehavioralAISubstrate/Sources/BASBrainCLI/main.swift:581-590"]
50	unbounded-mirror-input-buffering	["BehavioralAISubstrate/Sources/BASJournalCLI/MirrorLane.swift:158-183","BehavioralAISubstrate/Sources/BASJournalCLI/main.swift:547-551","BehavioralAISubstrate/Sources/BASJournalCLI/MirrorLane.swift:158-171"]
51	rust-wire-count-allocation-before-validation	["BehavioralAISubstrate/Cargo/bas-tokenizer/src/lib.rs:538-559","BehavioralAISubstrate/Cargo/bas-tokenizer/src/lib.rs:563-588","BehavioralAISubstrate/Cargo/bas-red-team-bench/src/lib.rs:721-752","BehavioralAISubstrate/Cargo/bas-integrity-sentinel/src/lib.rs:377-407","BehavioralAISubstrate/Cargo/bas-retrieval-ranker/src/lib.rs:1141-1188","BehavioralAISubstrate/Cargo/bas-red-team-bench/src/lib.rs:731-736","BehavioralAISubstrate/Cargo/bas-integrity-sentinel/src/lib.rs:384-387","BehavioralAISubstrate/Cargo/bas-tokenizer/src/lib.rs:545-571","BehavioralAISubstrate/Cargo/bas-retrieval-ranker/src/lib.rs:1145-1177"]
52	pq-and-int8-shape-allocation-bounds	["BehavioralAISubstrate/Sources/BASRuntimeCore/BASPQIndex.swift:58-67","BehavioralAISubstrate/Sources/BASRuntimeCore/BASPQIndex.swift:142-177","BehavioralAISubstrate/Cargo/bas-retrieval-ranker/src/pq_index.rs:57-80","BehavioralAISubstrate/Cargo/bas-retrieval-ranker/src/lib.rs:1536-1563","BehavioralAISubstrate/Cargo/bas-retrieval-ranker/src/quantize.rs:93-108","BehavioralAISubstrate/Sources/BASRuntimeCore/BASAutoRouteRanker+Cosine.swift:280-303"]
53	unauthenticated-update-ticket-promotion	["BehavioralAISubstrate/Sources/BASObservability/BASUpdateTicketLifecycle.swift:434-455","BehavioralAISubstrate/Sources/BASObservability/BASUpdateTicketLifecycle.swift:471-487","BehavioralAISubstrate/Sources/BASObservability/BASUpdateTicketLifecycle.swift:597-615","BehavioralAISubstrate/Sources/BASObservability/BASUpdateTicketLifecycle.swift:642-668","BehavioralAISubstrate/Sources/BASHostKit/BASUpdateTicketLifecycleCounterHostGate.swift:101-117","QinaoRuntimeSDK/Sources/QinaoSampleHost/SampleHostRuntimeBenchExtensions.swift:223-234","BehavioralAISubstrate/Sources/BASObservability/EBrainObservationPlaneCore.swift:66-111","BehavioralAISubstrate/Sources/BASObservability/BASUpdateTicketLifecycle.swift:402-486","BehavioralAISubstrate/Sources/BASHostKit/BASHostStorageWireBuilder.swift:540-565"]
54	unauthenticated-optin-commit-token-origin	["BehavioralAISubstrate/Sources/BASSovereign/BASSovereignCommitEnforcer.swift:48-65","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignTokenAuthority.swift:243-286","BehavioralAISubstrate/Sources/BASHostKit/BASSovereignGatedTurn.swift:53-96","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignGatedCommit.swift:56-81","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignCommitTokenEd25519.swift:46-70","BehavioralAISubstrate/Sources/BASHostKit/EBrainRuntimeCoordinator+SovereignCommit.swift:214-227","BehavioralAISubstrate/Sources/BASSovereign/BASSovereignCommitEnforcer.swift:40-65","BehavioralAISubstrate/Sources/BASHostKit/BASSovereignGatedTurn.swift:68-96","BehavioralAISubstrate/Sources/BASRuntimeCore/EBrainControlPlaneCore.swift:675-729","BehavioralAISubstrate/Sources/BASHostKit/EBrainRuntimeCoordinator+SovereignCommit.swift:164-242"]
55	nan-risk-clamp-bypass	["BehavioralAISubstrate/Sources/BASMemory/BASAgentPersonaRiskClamp.swift:57-110","BehavioralAISubstrate/Sources/BASMemory/BASAgentPersonaRiskClamp.swift:227-276","BehavioralAISubstrate/Sources/BASMemory/BASAgentPersonaRiskClamp.swift:279-297","BehavioralAISubstrate/Sources/BASMemory/BASAgentPersonaRiskClamp.swift:380-386"]
56	unbounded-mlx-session-kv-history	["BehavioralAISubstrate/Sources/BASMLXAdapter/MLXMemoryPolicy.swift:9-21","BehavioralAISubstrate/Sources/BASMLXAdapter/MLXOrganAdapter.swift:131-139","BehavioralAISubstrate/Sources/BASMLXAdapter/MLXOrganAdapter.swift:635-670","BehavioralAISubstrate/Sources/BASMLXAdapter/MLXOrganAdapter.swift:1300-1334","BehavioralAISubstrate/Sources/BASMLXAdapter/MLXOrganAdapter.swift:1458-1523","BehavioralAISubstrate/Sources/BASMLXAdapter/MLXOrganAdapter.swift:376-380"]
57	authorization.mcp-permit-binding	["BehavioralAISubstrate/Sources/BASPolicy/EBrainRiskPlaneCore.swift:117-198","BehavioralAISubstrate/Sources/BASOrchestration/BASAgentFabricAdapters.swift:238-325","BehavioralAISubstrate/Sources/BASMemory/BASMCPCapabilityGateway.swift:76-116"]
58	memory-safety.decode-negative-position	["BehavioralAISubstrate/Sources/BASAppleAdapters/BASCoreAIDecodeSession.swift:126-143","BehavioralAISubstrate/Sources/BASAppleAdapters/BASCoreAILayerSplitSession.swift:124-134","BehavioralAISubstrate/Sources/BASMLXAdapter/BASCoreMLDraftSession.swift:101-120"]
59	integrity.summary-cache-nul-collision	["BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveBrain+Construction.swift:175-207","BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveBrain+Summary.swift:182-207","BehavioralAISubstrate/Sources/BASHostKit/BASCxxBrainSummaryCache.swift:45-69","BehavioralAISubstrate/Sources/BASMetalSubstrate/BASMPSGraphExecutableCacheCxxBridge.swift:129-172","BehavioralAISubstrate/Sources/BASMPSGraphExecutableCacheCxx/bas_mps_cache.cpp:417-447"]
60	authorization.summary-cache-context-confusion	["BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveBrain.swift:251-282","BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveBrain+Summary.swift:28-72","BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveBrain+Summary.swift:84-101","BehavioralAISubstrate/Sources/BASHostKit/BASCognitiveBrain+Summary.swift:182-207","BehavioralAISubstrate/Sources/BASMPSGraphExecutableCacheCxx/bas_mps_cache.cpp:89-116"]
61	resource-exhaustion.organ-input-amplification	["BehavioralAISubstrate/Sources/BASOrgan/BASOrganAdapter.swift:180-261","BehavioralAISubstrate/Sources/BASMLXAdapter/MLXOrganAdapter+SuffixSpec.swift:123-135","BehavioralAISubstrate/Sources/BASMLXAdapter/MLXOrganAdapter.swift:1186-1228"]
62	authorization.host-approval-bearer	["QinaoRuntimeSDK/Sources/QinaoHost/QinaoHost.swift:121-140","BehavioralAISubstrate/Sources/BASMemory/HostCandidatePipeline.swift:146-185","BehavioralAISubstrate/Sources/BASMemory/HostConstitutionCore.swift:372-414","BehavioralAISubstrate/Sources/BASMemory/HostConstitutionCore.swift:808-837","BehavioralAISubstrate/Sources/BASHostKit/BASConstitutionApprovalGate.swift:106-139"]
63	authorization.shadow-trial-cross-session	["BehavioralAISubstrate/Sources/BASMemory/ShadowTrialCoordinator.swift:284-350","BehavioralAISubstrate/Sources/BASMemory/ShadowTrialCoordinator.swift:427-464","QinaoRuntimeSDK/Sources/QinaoHost/QinaoFurnace.swift:447-524","QinaoRuntimeSDK/Sources/QinaoHost/QinaoFurnace.swift:547-595"]
64	integrity.shadow-trial-self-attested-pass	["BehavioralAISubstrate/Sources/BASMemory/ShadowTrialCoordinator.swift:427-505","BehavioralAISubstrate/Sources/BASMemory/ShadowTrialCoordinator.swift:653-688","QinaoRuntimeSDK/Sources/QinaoHost/QinaoFurnace.swift:612-684"]
65	authorization.memory-constitution-substitution	["QinaoRuntimeSDK/Sources/QinaoMemory/QinaoMemory.swift:158-207","BehavioralAISubstrate/Sources/BASMemory/MemoryAtomBootstrapCore.swift:606-626","BehavioralAISubstrate/Sources/BASMemory/MemoryAtomBootstrapCore.swift:651-701","QinaoRuntimeSDK/Sources/QinaoDefaults/QinaoSovereignHostAssembly.swift:38-46"]
66	authorization.memory-destructive-bearer	["QinaoRuntimeSDK/Sources/QinaoMemory/QinaoMemory.swift:310-420","QinaoRuntimeSDK/Sources/QinaoDefaults/QinaoSovereignHostAssembly.swift:38-46","QinaoRuntimeSDK/Sources/QinaoDefaults/QinaoSovereignHostAssembly.swift:120-138"]
67	integrity.distillation-safety-flags	["BehavioralAISubstrate/Sources/BASMemory/EBrainEvolutionGovernanceCore.swift:371-400","BehavioralAISubstrate/Sources/BASMemory/BASDistillationBank.swift:184-201","BehavioralAISubstrate/Sources/BASMemory/BASDistillationBank.swift:100-149","BehavioralAISubstrate/Sources/BASOrchestration/BASDistillationTurnIngest.swift:12-35"]
68	authorization.halt-effect-toctou	["QinaoRuntimeSDK/Sources/QinaoRuntime/QinaoRuntime.swift:255-280","QinaoRuntimeSDK/Sources/QinaoSovereign/QinaoSovereign.swift:932-959"]
